country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Spain,39420568,39513721,39603778,39729942,39944692,40282828,40756675,41346738,42015864,42710301,43387477,44038456,44664067,45243381,45754265,46182038,46514117,46754541,46926963
Sri Lanka,18241711,18367795,18473862,18575763,18695041,18846401,19037119,19260853,19501969,19737578,19951291,20137560,20301912,20452387,20601663,20758779,20925532,21098099,21273228
Sudan,29963988,30824141,31682982,32551853,33447666,34382782,35359265,36373247,37423884,38508752,39625222,40774428,41954986,43158451,44373749,45592931,36430923,37195349,37964306
Suriname,435776,441734,447771,453920,460215,466668,473312,480099,486867,493394,499523,505186,510433,515372,520173,524960,529761,534541,539276
Swaziland,963428,984506,1006760,1028694,1048151,1063715,1074761,1082183,1087929,1094758,1104642,1118253,1134977,1153929,1173678,1193148,1212159,1230985,1249514
Sweden,8826720,8849420,8859106,8861204,8863595,8872284,8888444,8911156,8941754,8981282,9030163,9089677,9159155,9234561,9310295,9382297,9448965,9511313,9571105
Switzerland,7017042,7059633,7090176,7113505,7136813,7165581,7200783,7241511,7289079,7344597,7408608,7482167,7564712,7653062,7742768,7830534,7915200,7997399,8077833
Syrian Arab Republic,14338240,14746306,15168523,15591261,15995760,16371208,16700984,16994676,17298476,17676012,18167367,18804914,19561477,20346056,21031546,21532647,21804363,21889682,21898061
Tajikistan,5784330,5862347,5937177,6012933,6094661,6186152,6289340,6404118,6529609,6663929,6805655,6954522,7111025,7275252,7447396,7627326,7814850,8008990,8207834
Thailand,58983954,59562136,60206941,60903042,61623143,62343379,63069070,63797841,64488338,65087400,65559487,65883961,66076927,66185340,66277335,66402316,66576332,66785001,67010502
The Former Yugoslav Republic of Macedonia,1967013,1975207,1991687,2013117,2034487,2052129,2065098,2074441,2080866,2085728,2090044,2093801,2096620,2098769,2100558,2102216,2103890,2105575,2107158
Timor-Leste,NA,NA,NA,NA,NA,NA,NA,899367,933369,966987,995619,1018013,1035706,1050244,1064191,1079450,1096293,1114106,1132879
Togo,4284497,4392177,4504291,4620710,4740974,4864753,4992225,5123674,5258956,5397851,5540214,5685845,5834806,5987491,6144457,6306014,6472304,6642928,6816982
Tokelau,1520,1529,1548,1566,1571,1552,1504,1434,1351,1272,1210,1167,1141,1130,1129,1135,1148,1169,1195
Tonga,95928,96218,96574,96991,97457,97962,98504,99083,99691,100319,100960,101617,102289,102947,103557,104098,104554,104941,105323
Trinidad and Tobago,1255001,1258365,1260677,1262544,1264781,1267980,1272347,1277723,1283868,1290379,1296933,1303478,1310040,1316449,1322518,1328095,1333082,1337439,1341151
Tunisia,8982649,9116617,9237249,9347451,9451481,9552776,9652120,9749636,9847323,9947369,10051352,10160243,10273932,10391460,10511204,10631830,10753073,10874915,10996515
Turkey,58522320,59442502,60372413,61308204,62243779,63174483,64100297,65022300,65938265,66845635,67743052,68626337,69496513,70363511,71241080,72137546,73058638,73997128,74932641
Turkmenistan,4188010,4267690,4335991,4395293,4449427,4501419,4551762,4600171,4648037,4696876,4747839,4801595,4858236,4917543,4978962,5041995,5106668,5172931,5240072
Turks and Caicos Islands,15334,15967,16527,17114,17866,18876,20186,21740,23412,25025,26450,27642,28638,29481,30247,30993,31726,32427,33098
Tuvalu,9227,9264,9298,9334,9374,9419,9471,9530,9590,9646,9694,9732,9764,9788,9808,9827,9844,9860,9876
Uganda,20740726,21407693,22084527,22780451,23507800,24275641,25088033,25943441,26838428,27766986,28724869,29711397,30728747,31778799,32864328,33987213,35148064,36345860,37578876
Ukraine,51146967,50821019,50421998,49974187,49510626,49057226,48620596,48200504,47807199,47450472,47135932,46871328,46653183,46461350,46267306,46050220,45802721,45529944,45238805
United Arab Emirates,2346305,2470810,2608993,2753498,2893648,3026352,3132104,3223969,3369254,3658658,4148883,4875639,5797347,6798635,7718319,8441537,8925096,9205651,9346129
United Kingdom of Great Britain and Northern Ireland,57997197,58168519,58346633,58534306,58735006,58951444,59183774,59431937,59697954,59984118,60291414,60620907,60970360,61333257,61700797,62066350,62426923,62783115,63136265
United Republic of Tanzania,29944302,30780453,31586039,32378333,33183093,34020512,34895398,35806497,36760831,37765139,38824384,39942347,41119693,42353790,43639752,44973330,46354607,47783107,49253126
United States of America,268039654,271231546,274606475,278053607,281419130,284594395,287532638,290270187,292883010,295487267,298165797,300942917,303786752,306657153,309491893,312247116,314911752,317505266,320050716
Uruguay,3224383,3247585,3270549,3291677,3308884,3320841,3326762,3327500,3325411,3323822,3325155,3330217,3338384,3348898,3360431,3371982,3383486,3395253,3407062
US Virgin Islands,107018,107589,108002,108271,108431,108511,108511,108422,108259,108034,107768,107458,107116,106788,106530,106382,106364,106462,106627
Uzbekistan,22950898,23381250,23789736,24170760,24517962,24828562,25098636,25334021,25553928,25784397,26044401,26340696,26668950,27023200,27392784,27769270,28151746,28541423,28934102
Vanuatu,168236,171802,175004,178074,181346,185058,189285,193950,198952,204135,209375,214654,220001,225398,230833,236299,241778,247262,252763
Venezuela (Bolivarian Republic of),22092144,22556838,23020184,23482700,23945002,24407553,24870441,25333622,25797219,26261326,26725897,27190882,27655937,28120312,28583040,29043283,29500625,29954782,30405207
Viet Nam,76020043,77166873,78199254,79140734,80027521,80887879,81728768,82547682,83352595,84150651,84947852,85747625,86553201,87369203,88199997,89047397,89913956,90795769,91679733
Wallis and Futuna Islands,14143,14221,14309,14394,14460,14497,14501,14476,14422,14344,14246,14126,13988,13840,13697,13565,13451,13353,13272
West Bank and Gaza Strip,2598393,2722497,2851993,2980563,3099951,3204572,3291620,3363542,3426549,3489743,3559856,3638829,3725076,3817551,3914035,4012880,4114199,4218771,4326295
Yemen,15018201,15578640,16088019,16564235,17035531,17522537,18029989,18551068,19081306,19612696,20139661,20661714,21182162,21703571,22229625,22763008,23304206,23852409,24407381
Zambia,8841338,9073311,9320089,9577483,9839179,10100981,10362137,10625423,10894519,11174650,11470022,11781612,12109620,12456527,12825031,13216985,13633796,14075099,14538640
Zimbabwe,11639364,11846110,12045813,12229500,12384727,12503652,12586763,12640922,12673103,12693047,12710589,12724308,12740160,12784041,12888918,13076978,13358738,13724317,14149648
